vent_type,surf_id,XB1,XB2,XB3,XB4,XB5,XB6,VEL,VEL_T
Louvered Square,supply 1,3.55,3.6,5.0,5.0,0.15,0.45,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 2,3.6,3.8,5.0,5.0,0.4,0.45,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 3,3.8,3.85,5.0,5.0,0.15,0.45,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 4,3.6,3.8,5.0,5.0,0.15,0.2,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 5,3.6,3.65,5.0,5.0,0.25,0.35,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 6,3.6,3.8,5.0,5.0,0.35,0.4,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 7,3.75,3.8,5.0,5.0,0.25,0.35,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 8,3.6,3.8,5.0,5.0,0.15,0.15,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 1,1.28333333333333,1.33333333333333,5.0,5.0,2.55,2.85,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 2,1.33333333333333,1.53333333333333,5.0,5.0,2.8,2.85,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 3,1.53333333333333,1.58333333333333,5.0,5.0,2.55,2.85,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 4,1.33333333333333,1.53333333333333,5.0,5.0,2.55,2.6,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 5,1.33333333333333,1.38333333333333,5.0,5.0,2.65,2.75,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 6,1.33333333333333,1.53333333333333,5.0,5.0,2.75,2.8,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 7,1.48333333333333,1.53333333333333,5.0,5.0,2.65,2.75,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 8,1.33333333333333,1.53333333333333,5.0,5.0,2.55,2.55,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 1,4.0,4.0,0.15,0.2,2.55,2.85,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 2,4.0,4.0,0.2,0.4,2.8,2.85,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 3,4.0,4.0,0.4,0.45,2.55,2.85,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 4,4.0,4.0,0.2,0.4,2.55,2.6,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 5,4.0,4.0,0.2,0.25,2.65,2.75,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 6,4.0,4.0,0.2,0.4,2.75,2.8,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 7,4.0,4.0,0.35,0.4,2.65,2.75,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 8,4.0,4.0,0.2,0.4,2.6,2.65,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,exhaust,3.55,3.85,0.0,0.0,2.55,2.85,0.1,
Louvered Square,exhaust,3.55,3.85,0.0,0.0,0.15,0.45,0.1,
Louvered Square,exhaust,0.0,0.0,0.15,0.45,0.15,0.45,0.1,
Louvered Square,exhaust,3.55,3.85,4.55,4.85,3.0,3.0,0.1,
