vent_type,surf_id,XB1,XB2,XB3,XB4,XB5,XB6,VEL,VEL_T
Louvered Square,supply 1,4.0,4.0,3.08333333333333,3.13333333333333,2.55,2.85,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 2,4.0,4.0,3.13333333333333,3.33333333333333,2.8,2.85,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 3,4.0,4.0,3.33333333333333,3.38333333333333,2.55,2.85,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 4,4.0,4.0,3.13333333333333,3.33333333333333,2.55,2.6,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 5,4.0,4.0,3.13333333333333,3.18333333333333,2.65,2.75,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 6,4.0,4.0,3.13333333333333,3.33333333333333,2.75,2.8,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 7,4.0,4.0,3.28333333333333,3.33333333333333,2.65,2.75,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 8,4.0,4.0,3.13333333333333,3.33333333333333,2.6,2.65,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 1,4.0,4.0,3.08333333333333,3.13333333333333,0.15,0.45,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 2,4.0,4.0,3.13333333333333,3.33333333333333,0.4,0.45,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 3,4.0,4.0,3.33333333333333,3.38333333333333,0.15,0.45,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 4,4.0,4.0,3.13333333333333,3.33333333333333,0.15,0.2,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 5,4.0,4.0,3.13333333333333,3.18333333333333,0.25,0.35,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 6,4.0,4.0,3.13333333333333,3.33333333333333,0.35,0.4,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 7,4.0,4.0,3.28333333333333,3.33333333333333,0.25,0.35,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 8,4.0,4.0,3.13333333333333,3.33333333333333,0.2,0.25,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 1,3.55,3.6,4.55,4.85,0.0,0.0,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 2,3.6,3.8,4.8,4.85,0.0,0.0,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 3,3.8,3.85,4.55,4.85,0.0,0.0,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 4,3.6,3.8,4.55,4.6,0.0,0.0,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 5,3.6,3.65,4.65,4.75,0.0,0.0,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 6,3.6,3.8,4.75,4.8,0.0,0.0,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 7,3.75,3.8,4.65,4.75,0.0,0.0,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 8,3.6,3.8,4.6,4.65,0.0,0.0,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,exhaust,3.55,3.85,3.08333333333333,3.38333333333333,3.0,3.0,0.1,
Louvered Square,exhaust,3.55,3.85,0.149999999999999,0.449999999999999,3.0,3.0,0.1,
