vent_type,surf_id,XB1,XB2,XB3,XB4,XB5,XB6,VEL,VEL_T
Louvered Square,supply 1,3.55,3.6,5.0,5.0,0.15,0.45,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 2,3.6,3.8,5.0,5.0,0.4,0.45,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 3,3.8,3.85,5.0,5.0,0.15,0.45,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 4,3.6,3.8,5.0,5.0,0.15,0.2,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 5,3.6,3.65,5.0,5.0,0.25,0.35,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 6,3.6,3.8,5.0,5.0,0.35,0.4,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 7,3.75,3.8,5.0,5.0,0.25,0.35,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 8,3.6,3.8,5.0,5.0,0.15,0.15,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 1,0.0,0.0,1.61666666666667,1.66666666666667,0.15,0.45,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 2,0.0,0.0,1.66666666666667,1.86666666666667,0.4,0.45,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 3,0.0,0.0,1.86666666666667,1.91666666666667,0.15,0.45,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 4,0.0,0.0,1.66666666666667,1.86666666666667,0.15,0.2,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 5,0.0,0.0,1.66666666666667,1.71666666666667,0.25,0.35,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 6,0.0,0.0,1.66666666666667,1.86666666666667,0.35,0.4,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 7,0.0,0.0,1.81666666666667,1.86666666666667,0.25,0.35,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 8,0.0,0.0,1.66666666666667,1.86666666666667,0.2,0.25,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,exhaust,0.0,0.0,3.08333333333333,3.38333333333333,2.55,2.85,0.1,
