vent_type,surf_id,XB1,XB2,XB3,XB4,XB5,XB6,VEL,VEL_T
Louvered Square,supply 1,1.28333333333333,1.33333333333333,5.0,5.0,0.15,0.45,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 2,1.33333333333333,1.53333333333333,5.0,5.0,0.4,0.45,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 3,1.53333333333333,1.58333333333333,5.0,5.0,0.15,0.45,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 4,1.33333333333333,1.53333333333333,5.0,5.0,0.15,0.2,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 5,1.33333333333333,1.38333333333333,5.0,5.0,0.25,0.35,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 6,1.33333333333333,1.53333333333333,5.0,5.0,0.35,0.4,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 7,1.48333333333333,1.53333333333333,5.0,5.0,0.25,0.35,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 8,1.33333333333333,1.53333333333333,5.0,5.0,0.15,0.15,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,exhaust,4.0,4.0,4.55,4.85,2.55,2.85,0.1,
Louvered Square,exhaust,3.55,3.85,3.08333333333333,3.38333333333333,0.0,0.0,0.1,
