vent_type,surf_id,XB1,XB2,XB3,XB4,XB5,XB6,VEL,VEL_T
Swirl,supply 1,2.41666666666667,2.51666666666667,0.0,0.0,0.15,0.15,-0.1,"-0.0707106781186548,0.0"
Swirl,supply 2,2.51666666666667,2.61666666666667,0.0,0.0,0.15,0.15,-0.1,"-0.05,0.05"
Swirl,supply 3,2.61666666666667,2.41666666666667,0.0,0.0,0.15,0.25,-0.1,"4.32963728535968e-18,0.0707106781186548"
Swirl,supply 4,2.41666666666667,2.51666666666667,0.0,0.0,0.25,0.25,-0.1,"-0.05,-0.05"
Swirl,supply 5,2.51666666666667,2.61666666666667,0.0,0.0,0.25,0.25,0.0,
Swirl,supply 6,2.61666666666667,2.41666666666667,0.0,0.0,0.25,0.35,-0.1,"0.05,0.05"
Swirl,supply 7,2.41666666666667,2.51666666666667,0.0,0.0,0.35,0.35,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Swirl,supply 8,2.51666666666667,2.61666666666667,0.0,0.0,0.35,0.35,-0.1,"0.05,-0.05"
Swirl,supply 9,2.61666666666667,2.41666666666667,0.0,0.0,0.35,0.45,-0.1,"0.0707106781186548,0.0"
Swirl,supply 1,3.55,3.65,5.0,5.0,0.15,0.15,-0.1,"-0.0707106781186548,0.0"
Swirl,supply 2,3.65,3.75,5.0,5.0,0.15,0.15,-0.1,"-0.05,0.05"
Swirl,supply 3,3.75,3.55,5.0,5.0,0.15,0.25,-0.1,"4.32963728535968e-18,0.0707106781186548"
Swirl,supply 4,3.55,3.65,5.0,5.0,0.25,0.25,-0.1,"-0.05,-0.05"
Swirl,supply 5,3.65,3.75,5.0,5.0,0.25,0.25,0.0,
Swirl,supply 6,3.75,3.55,5.0,5.0,0.25,0.35,-0.1,"0.05,0.05"
Swirl,supply 7,3.55,3.65,5.0,5.0,0.35,0.35,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Swirl,supply 8,3.65,3.75,5.0,5.0,0.35,0.35,-0.1,"0.05,-0.05"
Swirl,supply 9,3.75,3.55,5.0,5.0,0.35,0.45,-0.1,"0.0707106781186548,0.0"
Swirl,exhaust,3.55,3.85,0.149999999999999,0.449999999999999,3.0,3.0,0.1,
Swirl,exhaust,1.28333333333333,1.58333333333333,0.15,0.45,3.0,3.0,0.1,
