vent_type,surf_id,XB1,XB2,XB3,XB4,XB5,XB6,VEL,VEL_T
Louvered Square,supply 1,3.55,3.6,1.61666666666667,1.91666666666667,3.0,3.0,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 2,3.6,3.8,1.86666666666667,1.91666666666667,3.0,3.0,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 3,3.8,3.85,1.61666666666667,1.91666666666667,3.0,3.0,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 4,3.6,3.8,1.61666666666667,1.66666666666667,3.0,3.0,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 5,3.6,3.65,1.71666666666667,1.81666666666667,3.0,3.0,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 6,3.6,3.8,1.81666666666667,1.86666666666667,3.0,3.0,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 7,3.75,3.8,1.71666666666667,1.81666666666667,3.0,3.0,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 8,3.6,3.8,1.66666666666667,1.71666666666667,3.0,3.0,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,exhaust,4.0,4.0,1.61666666666667,1.91666666666667,2.55,2.85,0.1,
Louvered Square,exhaust,4.0,4.0,4.55,4.85,2.55,2.85,0.1,
