vent_type,surf_id,XB1,XB2,XB3,XB4,XB5,XB6,VEL,VEL_T
Louvered Square,supply 1,3.55,3.6,1.61666666666667,1.91666666666667,0.0,0.0,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 2,3.6,3.8,1.86666666666667,1.91666666666667,0.0,0.0,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 3,3.8,3.85,1.61666666666667,1.91666666666667,0.0,0.0,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 4,3.6,3.8,1.61666666666667,1.66666666666667,0.0,0.0,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 5,3.6,3.65,1.71666666666667,1.81666666666667,0.0,0.0,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 6,3.6,3.8,1.81666666666667,1.86666666666667,0.0,0.0,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 7,3.75,3.8,1.71666666666667,1.81666666666667,0.0,0.0,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 8,3.6,3.8,1.66666666666667,1.71666666666667,0.0,0.0,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,exhaust,1.28333333333333,1.58333333333333,0.15,0.45,3.0,3.0,0.1,
Louvered Square,exhaust,3.55,3.85,0.149999999999999,0.449999999999999,3.0,3.0,0.1,
Louvered Square,exhaust,3.55,3.85,3.08333333333333,3.38333333333333,0.0,0.0,0.1,
Louvered Square,exhaust,1.28333333333333,1.58333333333333,4.55,4.85,0.0,0.0,0.1,
