vent_type,surf_id,XB1,XB2,XB3,XB4,XB5,XB6,VEL,VEL_T
Louvered Square,supply 1,0.0,0.0,4.55,4.6,2.55,2.85,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 2,0.0,0.0,4.6,4.8,2.8,2.85,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 3,0.0,0.0,4.8,4.85,2.55,2.85,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 4,0.0,0.0,4.6,4.8,2.55,2.6,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 5,0.0,0.0,4.6,4.65,2.65,2.75,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 6,0.0,0.0,4.6,4.8,2.75,2.8,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 7,0.0,0.0,4.75,4.8,2.65,2.75,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 8,0.0,0.0,4.6,4.8,2.6,2.65,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,exhaust,4.0,4.0,1.61666666666667,1.91666666666667,0.15,0.45,0.1,
Louvered Square,exhaust,0.15,0.45,5.0,5.0,2.55,2.85,0.1,
Louvered Square,exhaust,0.0,0.0,3.08333333333333,3.38333333333333,0.15,0.45,0.1,
Louvered Square,exhaust,0.15,0.45,4.55,4.85,3.0,3.0,0.1,
