vent_type,surf_id,XB1,XB2,XB3,XB4,XB5,XB6,VEL,VEL_T
Louvered,supply,2.41666666666667,2.71666666666667,0.15,0.45,3.0,3.0,-0.1,"0.0,-1.11111111111111"
Louvered,supply,0.0,0.0,4.55,4.85,0.15,0.45,-0.1,"0.0,-1.11111111111111"
Louvered,supply,2.41666666666667,2.71666666666667,4.55,4.85,0.0,0.0,-0.1,"0.0,-1.11111111111111"
Louvered,exhaust,1.28333333333333,1.58333333333333,4.55,4.85,0.0,0.0,0.1,
Louvered,exhaust,3.55,3.85,0.149999999999999,0.449999999999999,3.0,3.0,0.1,
Louvered,exhaust,0.15,0.45,4.55,4.85,3.0,3.0,0.1,
