vent_type,surf_id,XB1,XB2,XB3,XB4,XB5,XB6,VEL,VEL_T
Swirl,supply 1,0.0,0.0,1.61666666666667,1.71666666666667,2.55,2.55,-0.1,"-0.0707106781186548,0.0"
Swirl,supply 2,0.0,0.0,1.71666666666667,1.81666666666667,2.55,2.55,-0.1,"-0.05,0.05"
Swirl,supply 3,0.0,0.0,1.81666666666667,1.61666666666667,2.55,2.65,-0.1,"4.32963728535968e-18,0.0707106781186548"
Swirl,supply 4,0.0,0.0,1.61666666666667,1.71666666666667,2.65,2.65,-0.1,"-0.05,-0.05"
Swirl,supply 5,0.0,0.0,1.71666666666667,1.81666666666667,2.65,2.65,0.0,
Swirl,supply 6,0.0,0.0,1.81666666666667,1.61666666666667,2.65,2.75,-0.1,"0.05,0.05"
Swirl,supply 7,0.0,0.0,1.61666666666667,1.71666666666667,2.75,2.75,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Swirl,supply 8,0.0,0.0,1.71666666666667,1.81666666666667,2.75,2.75,-0.1,"0.05,-0.05"
Swirl,supply 9,0.0,0.0,1.81666666666667,1.61666666666667,2.75,2.85,-0.1,"0.0707106781186548,0.0"
Swirl,supply 1,0.149999999999999,0.149999999999999,4.55,4.55,0.0,0.0,-0.1,"-0.0707106781186548,0.0"
Swirl,supply 2,0.149999999999999,0.149999999999999,4.55,4.55,0.0,0.0,-0.1,"-0.05,0.05"
Swirl,supply 3,0.149999999999999,0.249999999999999,4.55,4.65,0.0,0.0,-0.1,"4.32963728535968e-18,0.0707106781186548"
Swirl,supply 4,0.249999999999999,0.249999999999999,4.65,4.65,0.0,0.0,-0.1,"-0.05,-0.05"
Swirl,supply 5,0.249999999999999,0.249999999999999,4.65,4.65,0.0,0.0,0.0,
Swirl,supply 6,0.249999999999999,0.349999999999999,4.65,4.75,0.0,0.0,-0.1,"0.05,0.05"
Swirl,supply 7,0.349999999999999,0.349999999999999,4.75,4.75,0.0,0.0,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Swirl,supply 8,0.349999999999999,0.349999999999999,4.75,4.75,0.0,0.0,-0.1,"0.05,-0.05"
Swirl,supply 9,0.349999999999999,0.449999999999999,4.75,4.85,0.0,0.0,-0.1,"0.0707106781186548,0.0"
Swirl,supply 1,0.15,0.25,0.0,0.0,2.55,2.55,-0.1,"-0.0707106781186548,0.0"
Swirl,supply 2,0.25,0.35,0.0,0.0,2.55,2.55,-0.1,"-0.05,0.05"
Swirl,supply 3,0.35,0.15,0.0,0.0,2.55,2.65,-0.1,"4.32963728535968e-18,0.0707106781186548"
Swirl,supply 4,0.15,0.25,0.0,0.0,2.65,2.65,-0.1,"-0.05,-0.05"
Swirl,supply 5,0.25,0.35,0.0,0.0,2.65,2.65,0.0,
Swirl,supply 6,0.35,0.15,0.0,0.0,2.65,2.75,-0.1,"0.05,0.05"
Swirl,supply 7,0.15,0.25,0.0,0.0,2.75,2.75,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Swirl,supply 8,0.25,0.35,0.0,0.0,2.75,2.75,-0.1,"0.05,-0.05"
Swirl,supply 9,0.35,0.15,0.0,0.0,2.75,2.85,-0.1,"0.0707106781186548,0.0"
Swirl,supply 1,0.149999999999999,0.149999999999999,4.55,4.55,3.0,3.0,-0.1,"-0.0707106781186548,0.0"
Swirl,supply 2,0.149999999999999,0.149999999999999,4.55,4.55,3.0,3.0,-0.1,"-0.05,0.05"
Swirl,supply 3,0.149999999999999,0.249999999999999,4.55,4.65,3.0,3.0,-0.1,"4.32963728535968e-18,0.0707106781186548"
Swirl,supply 4,0.249999999999999,0.249999999999999,4.65,4.65,3.0,3.0,-0.1,"-0.05,-0.05"
Swirl,supply 5,0.249999999999999,0.249999999999999,4.65,4.65,3.0,3.0,0.0,
Swirl,supply 6,0.249999999999999,0.349999999999999,4.65,4.75,3.0,3.0,-0.1,"0.05,0.05"
Swirl,supply 7,0.349999999999999,0.349999999999999,4.75,4.75,3.0,3.0,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Swirl,supply 8,0.349999999999999,0.349999999999999,4.75,4.75,3.0,3.0,-0.1,"0.05,-0.05"
Swirl,supply 9,0.349999999999999,0.449999999999999,4.75,4.85,3.0,3.0,-0.1,"0.0707106781186548,0.0"
Swirl,exhaust,4.0,4.0,1.61666666666667,1.91666666666667,2.55,2.85,0.1,
Swirl,exhaust,4.0,4.0,4.55,4.85,2.55,2.85,0.1,
Swirl,exhaust,3.55,3.85,0.149999999999999,0.449999999999999,0.0,0.0,0.1,
