vent_type,surf_id,XB1,XB2,XB3,XB4,XB5,XB6,VEL,VEL_T
Swirl,supply 1,2.41666666666667,2.51666666666667,0.0,0.0,2.55,2.55,-0.1,"-0.0707106781186548,0.0"
Swirl,supply 2,2.51666666666667,2.61666666666667,0.0,0.0,2.55,2.55,-0.1,"-0.05,0.05"
Swirl,supply 3,2.61666666666667,2.41666666666667,0.0,0.0,2.55,2.65,-0.1,"4.32963728535968e-18,0.0707106781186548"
Swirl,supply 4,2.41666666666667,2.51666666666667,0.0,0.0,2.65,2.65,-0.1,"-0.05,-0.05"
Swirl,supply 5,2.51666666666667,2.61666666666667,0.0,0.0,2.65,2.65,0.0,
Swirl,supply 6,2.61666666666667,2.41666666666667,0.0,0.0,2.65,2.75,-0.1,"0.05,0.05"
Swirl,supply 7,2.41666666666667,2.51666666666667,0.0,0.0,2.75,2.75,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Swirl,supply 8,2.51666666666667,2.61666666666667,0.0,0.0,2.75,2.75,-0.1,"0.05,-0.05"
Swirl,supply 9,2.61666666666667,2.41666666666667,0.0,0.0,2.75,2.85,-0.1,"0.0707106781186548,0.0"
Swirl,supply 1,0.15,0.15,3.08333333333333,3.08333333333333,0.0,0.0,-0.1,"-0.0707106781186548,0.0"
Swirl,supply 2,0.15,0.15,3.08333333333333,3.08333333333333,0.0,0.0,-0.1,"-0.05,0.05"
Swirl,supply 3,0.15,0.25,3.08333333333333,3.18333333333333,0.0,0.0,-0.1,"4.32963728535968e-18,0.0707106781186548"
Swirl,supply 4,0.25,0.25,3.18333333333333,3.18333333333333,0.0,0.0,-0.1,"-0.05,-0.05"
Swirl,supply 5,0.25,0.25,3.18333333333333,3.18333333333333,0.0,0.0,0.0,
Swirl,supply 6,0.25,0.35,3.18333333333333,3.28333333333333,0.0,0.0,-0.1,"0.05,0.05"
Swirl,supply 7,0.35,0.35,3.28333333333333,3.28333333333333,0.0,0.0,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Swirl,supply 8,0.35,0.35,3.28333333333333,3.28333333333333,0.0,0.0,-0.1,"0.05,-0.05"
Swirl,supply 9,0.35,0.45,3.28333333333333,3.38333333333333,0.0,0.0,-0.1,"0.0707106781186548,0.0"
Swirl,exhaust,3.55,3.85,0.149999999999999,0.449999999999999,3.0,3.0,0.1,
Swirl,exhaust,0.15,0.45,1.61666666666667,1.91666666666667,0.0,0.0,0.1,
Swirl,exhaust,3.55,3.85,0.15,0.45,0.0,0.0,0.1,
