vent_type,surf_id,XB1,XB2,XB3,XB4,XB5,XB6,VEL,VEL_T
Swirl,supply 1,0.0,0.0,1.61666666666667,1.71666666666667,2.55,2.55,-0.1,"-0.0707106781186548,0.0"
Swirl,supply 2,0.0,0.0,1.71666666666667,1.81666666666667,2.55,2.55,-0.1,"-0.05,0.05"
Swirl,supply 3,0.0,0.0,1.81666666666667,1.61666666666667,2.55,2.65,-0.1,"4.32963728535968e-18,0.0707106781186548"
Swirl,supply 4,0.0,0.0,1.61666666666667,1.71666666666667,2.65,2.65,-0.1,"-0.05,-0.05"
Swirl,supply 5,0.0,0.0,1.71666666666667,1.81666666666667,2.65,2.65,0.0,
Swirl,supply 6,0.0,0.0,1.81666666666667,1.61666666666667,2.65,2.75,-0.1,"0.05,0.05"
Swirl,supply 7,0.0,0.0,1.61666666666667,1.71666666666667,2.75,2.75,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Swirl,supply 8,0.0,0.0,1.71666666666667,1.81666666666667,2.75,2.75,-0.1,"0.05,-0.05"
Swirl,supply 9,0.0,0.0,1.81666666666667,1.61666666666667,2.75,2.85,-0.1,"0.0707106781186548,0.0"
Swirl,exhaust,0.15,0.45,4.55,4.85,3.0,3.0,0.1,
Swirl,exhaust,4.0,4.0,4.55,4.85,0.15,0.45,0.1,
